[2025-04-15 10:30:31] User: ana, Action: DOWNLOAD, Details: Downloaded file: 08_Digitalni_sertifikati_i_PKI_II_dio.pdf
[2025-04-15 10:30:38] User: ana, Action: KEY, Details: Published signed public key for ana
[2025-04-15 10:30:50] User: ana, Action: SHARE, Details: Shared file: 08_Digitalni_sertifikati_i_PKI_II_dio.pdf with lola5
[2025-04-15 10:31:30] User: lola5, Action: LOGIN_ATTEMPT, Details: FAILED: Invalid certificate path
[2025-04-15 10:32:06] User: lola5, Action: LOGIN_ATTEMPT, Details: FAILED: Invalid certificate path
[2025-04-15 10:32:35] User: lola5, Action: LOGIN_ATTEMPT, Details: FAILED: Invalid certificate path
[2025-04-15 10:33:25] User: milica, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-04-15 10:33:51] User: luka, Action: KEY, Details: Generated and signed public key for luka
[2025-04-15 10:34:12] User: luka, Action: UPLOAD, Details: Uploaded file: PJ2 2023-04-26.docx
[2025-04-15 10:34:15] User: luka, Action: KEY, Details: Published signed public key for luka
[2025-04-15 10:34:29] User: luka, Action: SHARE, Details: Shared file: PJ2 2023-04-26.docx with milica
[2025-04-15 10:35:01] User: milica, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-04-15 10:35:38] User: milica, Action: DOWNLOAD, Details: Downloaded file: PJ2 2023-04-26.docx_luka_to_milica.enc
[2025-04-15 10:36:54] User: ana, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-04-15 10:37:54] User: lola5, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-04-15 10:40:37] User: ana, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-04-15 10:40:44] User: ana, Action: SHARE, Details: Shared file: 08_Digitalni_sertifikati_i_PKI_II_dio.pdf with milica
[2025-04-15 10:41:25] User: milica, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-04-15 10:42:29] User: luka, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-04-15 10:42:32] User: luka, Action: KEY, Details: Published signed public key for luka
[2025-04-15 10:42:51] User: luka, Action: SHARE, Details: Shared file: PJ2 2023-04-26.docx with ana
[2025-04-15 10:43:14] User: ana, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-04-15 10:43:37] User: ana, Action: DOWNLOAD, Details: Downloaded file: PJ2 2023-04-26.docx_luka_to_ana.enc
[2025-04-15 10:44:46] User: ana, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-04-15 10:44:48] User: ana, Action: KEY, Details: Published signed public key for ana
[2025-04-15 10:45:06] User: ana, Action: SHARE, Details: Shared file: 08_Digitalni_sertifikati_i_PKI_II_dio.pdf with luka
[2025-04-15 10:45:34] User: luka, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-04-15 10:45:54] User: luka, Action: KEY, Details: Published signed public key for luka
[2025-04-15 10:47:26] User: masa3, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-04-15 10:47:41] User: masa3, Action: DOWNLOAD, Details: Downloaded file: PJ2-25-09-2024.pdf_lola5_to_masa3.enc
[2025-04-15 10:48:15] User: masa3, Action: DOWNLOAD, Details: Downloaded file: Zadaci.pdf_lola5_to_masa3.enc
[2025-04-15 10:48:26] User: masa3, Action: DELETE, Details: Deleted: PJ2-25-09-2024.pdf_lola5_to_masa3.enc
[2025-04-15 10:48:42] User: masa3, Action: DELETE, Details: Deleted: Zadaci.pdf_masa3.enc
[2025-04-15 10:48:56] User: masa3, Action: DELETE, Details: Deleted: 07_Digitalni_potpis.pdf
[2025-04-15 10:49:05] User: masa3, Action: DELETE, Details: Deleted: Figure_1.png_lola5.enc
[2025-04-15 10:49:31] User: masa3, Action: DELETE, Details: Deleted: racuni.txt_dj.enc
[2025-04-15 10:49:41] User: masa3, Action: DELETE, Details: Deleted: racuni.txt_lola5.enc
[2025-04-15 10:50:31] User: milica, Action: LOGIN_ATTEMPT, Details: SUCCESS
